chiefcomplaint,count
ETOH,162844
Chest pain,101778
Abd pain,96963
"ETOH, Unable to ambulate",83768
Dyspnea,58043
SI,55386
ABD PAIN,40491
s/p Fall,31492
Wound eval,30008
Headache,26514
Unable to ambulate,25643
"Abd pain, N/V",25081
CHEST PAIN,24232
Back pain,22679
N/V,22130
Altered mental status,19963
Weakness,19711
"Chest pain, Dyspnea",18980
BRBPR,16720
Lower back pain,16512
ABDOMINAL PAIN,16248
Dizziness,16004
Fever,15995
S/P FALL,15544
Seizure,14482
Cough,14407
ILI,13471
DYSPNEA,13402
Abnormal labs,12749
BACK PAIN,12510
CP,12170
R Foot pain,11962
SOB,11183
SUBSTANCE MISUSE/INTOXICATION,10635
HEADACHE,10618
Palpitations,9778
n/v/d,9763
Syncope,9721
"ETOH, s/p Fall",9275
R Flank pain,9258
"Abd pain, n/v/d",8901
Hyperglycemia,8816
"Abd pain, Vomiting",8812
Rash,8787
FEVER,8458
RLQ abdominal pain,8444
L Foot pain,8184
Sore throat,8114
SHORTNESS OF BREATH,8087
MVC,8075
L Leg pain,7957
Dysuria,7767
L Knee pain,7683
R Knee pain,7652
"Abd pain, Diarrhea",7461
"ETOH, Unsteady gait",7394
R Leg pain,7358
Neck pain,7224
"Abd pain, ETOH",7215
RUQ abdominal pain,7078
CHEST PAIN (CARDIAC FEATURES),6857
Asthma exacerbation,6836
Anxiety,6688
"Abd pain, Nausea",6650
L Flank pain,6562
"Cough, Dyspnea",6516
WEAKNESS,6454
Allergic reaction,6414
Hematuria,6269
gtube eval,6231
Hypoglycemia,6194
SUBSTANCE USE,6126
Diarrhea,6035
Depression,5943
"ETOH, SI",5796
"Abd pain, Transfer",5780
UNABLE TO AMBULATE,5749
L Hip pain,5654
Urinary retention,5596
Lower abdominal pain,5485
Epigastric pain,5451
LLQ abdominal pain,5433
___,5425
DIZZINESS,5399
"Chest pain, ETOH",5371
R Shoulder pain,5232
"Back pain, ETOH",5196
Toe pain,5072
Vomiting,5012
Hypertension,4981
"Depression, SI",4933
Dyspnea on exertion,4891
R Hip pain,4884
Med refill,4815
COUGH,4724
L Arm pain,4664
Foot pain,4652
Epistaxis,4616
Assault,4594
Hypotension,4569
UNKNOWN-CC,4525
"Abd pain, Chest pain",4326
Confusion,4300
"Dyspnea, Cough",4273
"SI, ETOH",4253
Constipation,4163
Leg swelling,4152
"Dyspnea, Chest pain",4106
N/V/D,4086
Vaginal bleeding,4043
Dental pain,3996
"Chest pain, Cough",3828
L Shoulder pain,3824
VOMITING AND/OR NAUSEA,3668
R Arm pain,3655
"N/V, Abd pain",3578
Right sided abdominal pain,3538
WOUND EVAL,3536
SEIZURE,3523
HYPERGLYCEMIA,3523
"Abd pain, Constipation",3520
LOWER EXTREMITY PAIN,3415
Substance use,3370
Rectal pain,3335
Tachycardia,3305
PICC line eval,3302
Presyncope,3268
Anemia,3216
Overdose,3200
L Ankle pain,3199
DEPRESSION/SUICIDAL/DELIBERATE SELF HARM,3147
VOMITING,3110
ABNORMAL LABS,3090
ALTERED MENTAL STATUS,3061
B Leg swelling,3039
DIARRHEA,3013
Agitation,3001
Respiratory distress,2990
"Unable to ambulate, ETOH",2956
Hypoxia,2934
Abscess,2916
Leg pain,2902
Body pain,2889
Detox,2867
"Dyspnea, Leg swelling",2851
Nausea,2847
Lightheaded,2839
B Leg pain,2833
Hyperkalemia,2799
MIGRAINE,2760
"Dyspnea, Hypoxia",2753
Head injury,2746
"Abd pain, Fever",2742
Pelvic pain,2742
Melena,2732
"SI, Depression",2729
"Chest pain, Transfer",2698
"Chest pain, Abd pain",2680
SORE THROAT,2672
Abdominal distention,2668
"Dizziness, Headache",2634
"Abd pain, BRBPR",2628
HA,2602
LOWER BACK PAIN,2601
"Chest pain, Palpitations",2598
Pain,2586
COUGH/CONGESTION,2564
SYNCOPE,2561
DIFFICULTY AMBULATING,2530
Transfer,2521
"Head injury, s/p Fall",2517
Unresponsive,2498
"Cough, Fever",2490
PAIN,2487
Psych,2484
Finger laceration,2480
CHEST PAIN (NONCARDIAC FEATURES),2459
"ETOH, Hypoglycemia",2416
Lethargy,2406
"Cough, ILI",2392
RASH,2360
R Ankle pain,2338
Psych eval,2307
DYSURIA,2302
NECK PAIN,2297
LUQ abd pain,2290
HEMATURIA,2289
Clotted fistula,2281
"Chest pain, Dizziness",2255
"s/p Fall, ETOH",2247
Hallucinations,2233
REQUESTING DETOX,2219
ABDO PAIN,2195
L Leg swelling,2163
PALPITATIONS,2158
Flank pain,2138
"Dyspnea, Weakness",2137
INFLUENZA LIKE ILLNESS,2114
Hematemesis,2106
Visual changes,2104
DEPRESSION,2091
"Abd pain, Abdominal distention",2090
PSYCH EVAL,2077
EtOH detox,2069
"Dyspnea, ETOH",2055
FOR EVAL,2033
Unsteady gait,2032
"s/p Fall, Head injury",2008
"Chest pain, Dyspnea on exertion",2005
L Ear pain,1995
R Ear pain,1986
R Eye pain,1974
"n/v/d, Abd pain",1969
"Headache, Hypertension",1952
ANXIETY,1946
R Hand pain,1946
R Leg swelling,1944
L Eye pain,1938
Failure to thrive,1931
Slurred speech,1899
"ETOH, Detox",1890
"Back pain, s/p Fall",1884
FALL,1877
B Foot pain,1853
"Abd pain, Dyspnea",1849
"s/p Fall, Transfer",1847
"ETOH, R Hip pain",1834
"Abd pain, Back pain",1832
"Chest pain, L Arm pain",1826
"Agitation, ETOH",1810
HYPERTENSION,1809
"Dizziness, Nausea",1809
LBP,1803
"ETOH, L Hip pain",1785
NAUSEA,1767
"Dizziness, Weakness",1762
EPIGASTRIC PAIN,1756
Laceration,1754
"Abd pain, Dysuria",1746
"ETOH, Substance use",1731
DIZZY,1717
"Headache, Nausea",1707
CONFUSION,1680
"Dyspnea, Fever",1678
L Wrist pain,1665
"Depression, ETOH",1649
HYPOGLYCEMIA,1643
FLANK PAIN,1643
ALLERGIC REACTION,1638
URINARY RETENTION,1626
LETHARGY,1626
"Chest pain, Headache",1621
"Abd pain, Melena",1618
ASTHMA EXACERBATION,1614
Sickle cell crisis,1595
TRAUMATIC BACK/SPINE INJURY,1592
"Dyspnea, Transfer",1581
"Headache, N/V",1578
R Wrist pain,1566
AH,1562
R FLANK PAIN,1559
RECTAL BLEEDING,1521
Hemoptysis,1518
L Calf pain,1517
PELVIC PAIN,1504
MULTIPLE COMPLAINTS,1481
"Fever, Cough",1479
CONSTIPATION,1478
S/P MVC,1476
"Assault, ETOH",1472
"Fever, Weakness",1469
Found down,1455
"Fever, ILI",1451
L Weakness,1450
R Ankle injury,1437
"s/p Fall, Weakness",1422
"Headache, Visual changes",1410
"AH, SI",1385
RIGHT HIP PAIN,1383
UNRESPONSIVE,1377
S/P SEIZURE,1372
Jtube eval,1364
UTI,1363
EPISTAXIS,1363
L FLANK PAIN,1362
Fatigue,1358
LOW BACK PAIN,1358
R Calf pain,1357
"Dizziness, s/p Fall",1340
UNSTEADY GAIT,1333
FEVERS,1320
HI,1308
R Hand injury,1308
"Abd pain, Weakness",1299
Productive cough,1297
"Seizure, Transfer",1293
"ETOH, Hip pain",1284
Upper abdominal pain,1280
HYPOTENSION,1276
Finger injury,1272
"Abd pain, Hematemesis",1264
Facial swelling,1253
"Headache, Dizziness",1252
H/A,1248
"R Foot pain, Wound eval",1246
"Dizziness, N/V",1229
HEAD INJURY,1222
"Headache, Neck pain",1219
"Epigastric pain, N/V",1218
"Abd pain, Hyperglycemia",1214
S/P ASSAULT,1211
LIGHTHEADED,1203
ABNORMAL LAB VALUES,1203
SYNCOPE/PRESYNCOPE,1190
"Fever, Wound eval",1189
