chiefcomplaint,total_cases_F,total_cases_M,deaths_F,deaths_M,survivors_F,survivors_M,mortality_rate_F,mortality_rate_M
 10 MIN VISION CHANGE,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
 ? SEIZURE ACTIVITY,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 ?CVA,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
 ABD AND CP,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
 ABD LEAKING FLUID,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
 ABD PAIN,29.0,0.0,2.0,0.0,27.0,0.0,6.9,0.0
" ALTERED MS, POLYSUBSTANCE ABUSE",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 ANKLE PAIN,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
 BICYCLE ACCIDENT W/LOC 7M,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 BLEEDING FROM CATH SITE,12.0,0.0,1.0,0.0,11.0,0.0,8.3,0.0
 CP /BACK PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 DIZZINESS,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
 FEVER R/O UTI/PNA  ,2.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0
 FOR BLOOD TRANSFUSION,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
 FOR EVAL,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
 HA/HTN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
 HAND INJURY,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
 HEADACHE,2.0,0.0,1.0,0.0,1.0,0.0,50.0,0.0
 L EAR CRACKLING /GURGLING ,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
 LBP S/P 10 FT FALL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
 MID LOW ABD PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 NEEDS G TUBE ,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
 NEW AAA,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
 PED STRUCK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
 PNA ___,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 POST CARDIAC ARREST,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
 POST OP EPISTAXIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
 R  SHOULDER  DISLOCATION,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
 R  SIDE  ABD PAIN,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
 R EAR AND NECK PAIN ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
 R EYEBROW LAC,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
 R HIP PAIN AFTER FALL,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
 R LEG PAIN/SOB,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
 R/O DVT  L LEG,3.0,0.0,1.0,0.0,2.0,0.0,33.300000000000004,0.0
 R/O INFECTION,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
 RLE LAC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 THROAT PAIN AND L ARM PAIN,2.0,0.0,1.0,0.0,1.0,0.0,50.0,0.0
 TIP OF THUMB,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
